sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
3096	3D	180_rot	left	selection	1	1	29	2	57
3109	3D	180_rot	left	selection	2	1	50	1	58
3127	3D	180_rot	left	selection	2	1	24	2	61
3132	3D	180_rot	left	selection	2	1	33	1	64
3146	3D	180_rot	left	selection	2	1	31	2	74
3159	3D	180_rot	left	selection	2	1	36	2	87
3177	3D	180_rot	left	selection	2	1	25	2	121
3190	3D	180_rot	left	selection	2	1	34	2	70
3207	3D	180_rot	left	selection	2	1	29	2	64
3210	3D	180_rot	left	selection	2	1	53	2	77
3218	3D	180_rot	left	selection	2	1	29	2	216
3251	3D	180_rot	left	selection	2	1	28	1	58
3253	3D	180_rot	left	selection	2	1	32	1	108
3275	3D	180_rot	left	selection	2	1	22	2	94
3296	3D	180_rot	left	selection	2	1	41	1	86
3317	3D	180_rot	left	selection	2	1	25	2	90
3334	3D	180_rot	left	selection	2	1	49	1	205
3344	3D	180_rot	left	selection	2	1	26	2	63
3374	3D	180_rot	left	selection	2	1	31	1	56
3388	3D	180_rot	left	selection	2	1	26	2	85
3391	3D	180_rot	left	selection	2	1	23	2	394
3400	3D	180_rot	left	selection	2	1	34	2	122
3427	3D	180_rot	left	selection	2	1	51	1	95
3436	3D	180_rot	left	selection	2	1	47	2	104
3453	3D	180_rot	left	selection	2	1	23	1	84
3454	3D	180_rot	left	selection	1	1	21	2	58
3475	3D	180_rot	left	selection	2	1	18	1	112
3478	3D	180_rot	left	selection	2	1	26	2	123
3519	3D	180_rot	left	selection	2	1	21	1	59
3535	3D	180_rot	left	selection	2	1	35	1	135
3536	3D	180_rot	left	selection	2	1	22	2	117
3556	3D	180_rot	left	selection	2	1	36	2	73
3560	3D	180_rot	left	selection	1	1	24	1	51
3574	3D	180_rot	left	selection	2	1	71	1	178
3588	3D	180_rot	left	selection	2	1	60	2	142
3604	3D	180_rot	left	selection	2	1	19	2	113
3620	3D	180_rot	left	selection	2	1	24	1	36
3641	3D	180_rot	left	selection	2	1	56	1	76
3654	3D	180_rot	left	selection	2	1	24	1	153
3667	3D	180_rot	left	selection	2	1	59	2	276
3668	3D	180_rot	left	selection	2	1	23	1	118
3692	3D	180_rot	left	selection	2	1	21	2	77
3707	3D	180_rot	left	selection	2	1	35	1	142
3727	3D	180_rot	left	selection	2	1	34	2	109
3739	3D	180_rot	left	selection	2	1	29	2	155
3754	3D	180_rot	left	selection	2	1	22	2	55
3764	3D	180_rot	left	selection	2	1	18	1	111
3770	3D	180_rot	left	selection	2	1	47	1	156
3789	3D	180_rot	left	selection	2	1	30	2	72
3804	3D	180_rot	left	selection	2	1	37	2	75
3821	3D	180_rot	left	selection	2	1	27	1	101
3833	3D	180_rot	left	selection	2	1	20	1	96
3844	3D	180_rot	left	selection	2	1	37	1	235
3870	3D	180_rot	left	selection	2	1	37	2	1117
3876	3D	180_rot	left	selection	2	1	21	2	84
3890	3D	180_rot	left	selection	2	1	22	2	79
3913	3D	180_rot	left	selection	2	1	21	2	68
3919	3D	180_rot	left	selection	2	1	23	2	44
3939	3D	180_rot	left	selection	2	1	35	1	87
3954	3D	180_rot	left	selection	2	1	18	1	91
3969	3D	180_rot	left	selection	2	1	22	2	59
3091	3D	180_rot	right	selection	2	1	25	1	87
3099	3D	180_rot	right	selection	1	1	20	2	63
3117	3D	180_rot	right	selection	1	1	19	2	63
3138	3D	180_rot	right	selection	1	1	44	1	124
3143	3D	180_rot	right	selection	1	1	35	1	107
3161	3D	180_rot	right	selection	1	1	29	1	60
3166	3D	180_rot	right	selection	1	1	41	1	156
3187	3D	180_rot	right	selection	1	1	22	1	99
3198	3D	180_rot	right	selection	1	1	45	2	110
3224	3D	180_rot	right	selection	1	1	21	2	107
3234	3D	180_rot	right	selection	1	1	28	2	183
3247	3D	180_rot	right	selection	2	1	22	2	76
3248	3D	180_rot	right	selection	1	1	34	1	67
3272	3D	180_rot	right	selection	1	1	48	1	251
3280	3D	180_rot	right	selection	1	1	58	2	123
3305	3D	180_rot	right	selection	1	1	24	2	77
3319	3D	180_rot	right	selection	1	1	46	2	104
3335	3D	180_rot	right	selection	1	1	28	2	114
3338	3D	180_rot	right	selection	1	1	33	1	468
3358	3D	180_rot	right	selection	1	1	81	2	159
3369	3D	180_rot	right	selection	1	1	53	1	201
3375	3D	180_rot	right	selection	1	1	28	2	91
3409	3D	180_rot	right	selection	1	1	38	1	120
3411	3D	180_rot	right	selection	1	1	26	2	90
3437	3D	180_rot	right	selection	1	1	50	2	106
3465	3D	180_rot	right	selection	1	1	23	1	48
3467	3D	180_rot	right	selection	1	1	22	2	61
3476	3D	180_rot	right	selection	2	1	34	2	56
3495	3D	180_rot	right	selection	1	1	23	1	85
3502	3D	180_rot	right	selection	1	1	24	2	141
3513	3D	180_rot	right	selection	1	1	40	1	75
3540	3D	180_rot	right	selection	1	1	19	2	155
3550	3D	180_rot	right	selection	1	1	21	2	76
3568	3D	180_rot	right	selection	1	1	21	1	57
3591	3D	180_rot	right	selection	1	1	37	2	64
3598	3D	180_rot	right	selection	2	1	19	2	262
3600	3D	180_rot	right	selection	1	1	37	2	99
3623	3D	180_rot	right	selection	1	1	24	2	112
3643	3D	180_rot	right	selection	1	1	21	2	96
3650	3D	180_rot	right	selection	1	1	26	2	120
3666	3D	180_rot	right	selection	1	1	19	1	75
3676	3D	180_rot	right	selection	1	1	20	1	113
3693	3D	180_rot	right	selection	1	1	28	2	72
3708	3D	180_rot	right	selection	1	1	29	2	75
3722	3D	180_rot	right	selection	1	1	28	2	50
3734	3D	180_rot	right	selection	1	1	18	1	132
3756	3D	180_rot	right	selection	2	1	36	2	137
3769	3D	180_rot	right	selection	1	1	34	1	80
3787	3D	180_rot	right	selection	1	1	67	1	91
3790	3D	180_rot	right	selection	1	1	60	1	126
3802	3D	180_rot	right	selection	1	1	60	2	174
3818	3D	180_rot	right	selection	1	1	43	1	123
3845	3D	180_rot	right	selection	1	1	33	1	83
3858	3D	180_rot	right	selection	1	1	35	1	85
3863	3D	180_rot	right	selection	1	1	56	2	87
3882	3D	180_rot	right	selection	1	1	29	1	48
3891	3D	180_rot	right	selection	1	1	25	1	103
3907	3D	180_rot	right	selection	2	1	33	1	61
3920	3D	180_rot	right	selection	1	1	30	1	69
3930	3D	180_rot	right	selection	1	1	19	2	129
3943	3D	180_rot	right	selection	1	1	58	2	113
3087	3D	90_rot	left	selection	2	1	33	1	99
3103	3D	90_rot	left	selection	1	1	33	2	154
3121	3D	90_rot	left	selection	2	1	24	1	52
3152	3D	90_rot	left	selection	2	1	20	2	60
3160	3D	90_rot	left	selection	2	1	22	2	58
3172	3D	90_rot	left	selection	2	1	31	1	69
3201	3D	90_rot	left	selection	2	1	35	2	94
3208	3D	90_rot	left	selection	2	1	36	1	83
3220	3D	90_rot	left	selection	2	1	29	1	64
3223	3D	90_rot	left	selection	2	1	21	2	136
3244	3D	90_rot	left	selection	2	1	47	2	94
3264	3D	90_rot	left	selection	2	1	47	2	108
3283	3D	90_rot	left	selection	2	1	30	2	49
3287	3D	90_rot	left	selection	2	1	31	2	131
3292	3D	90_rot	left	selection	2	1	58	2	106
3298	3D	90_rot	left	selection	2	1	30	2	148
3315	3D	90_rot	left	selection	1	1	34	2	59
3364	3D	90_rot	left	selection	2	1	32	1	55
3368	3D	90_rot	left	selection	2	1	21	1	39
3371	3D	90_rot	left	selection	2	1	21	1	78
3394	3D	90_rot	left	selection	1	1	30	2	59
3398	3D	90_rot	left	selection	1	1	31	1	161
3412	3D	90_rot	left	selection	2	1	21	2	168
3435	3D	90_rot	left	selection	1	1	53	1	197
3444	3D	90_rot	left	selection	2	1	26	2	67
3445	3D	90_rot	left	selection	2	1	18	2	106
3486	3D	90_rot	left	selection	2	1	55	2	76
3498	3D	90_rot	left	selection	2	1	18	1	68
3504	3D	90_rot	left	selection	2	1	51	1	159
3524	3D	90_rot	left	selection	2	1	34	2	104
3531	3D	90_rot	left	selection	2	1	83	1	162
3552	3D	90_rot	left	selection	1	1	47	2	92
3576	3D	90_rot	left	selection	2	1	56	1	71
3579	3D	90_rot	left	selection	2	1	41	2	103
3585	3D	90_rot	left	selection	2	1	48	1	92
3603	3D	90_rot	left	selection	2	1	46	1	242
3608	3D	90_rot	left	selection	1	1	36	2	77
3614	3D	90_rot	left	selection	2	1	22	2	105
3642	3D	90_rot	left	selection	2	1	19	1	100
3659	3D	90_rot	left	selection	2	1	18	1	40
3683	3D	90_rot	left	selection	2	1	33	1	258
3690	3D	90_rot	left	selection	2	1	25	2	83
3703	3D	90_rot	left	selection	2	1	27	2	92
3715	3D	90_rot	left	selection	2	1	28	1	216
3743	3D	90_rot	left	selection	2	1	34	2	95
3755	3D	90_rot	left	selection	2	1	27	2	82
3761	3D	90_rot	left	selection	2	1	18	1	49
3777	3D	90_rot	left	selection	2	1	48	2	87
3788	3D	90_rot	left	selection	2	1	20	4	72
3797	3D	90_rot	left	selection	2	1	30	2	210
3817	3D	90_rot	left	selection	2	1	39	1	83
3835	3D	90_rot	left	selection	2	1	42	1	67
3851	3D	90_rot	left	selection	2	1	27	2	66
3868	3D	90_rot	left	selection	2	1	36	2	220
3875	3D	90_rot	left	selection	2	1	33	2	89
3892	3D	90_rot	left	selection	2	1	26	2	82
3901	3D	90_rot	left	selection	1	1	29	2	238
3926	3D	90_rot	left	selection	2	1	18	2	166
3937	3D	90_rot	left	selection	2	1	26	2	78
3953	3D	90_rot	left	selection	2	1	49	2	59
3968	3D	90_rot	left	selection	2	1	31	2	77
3095	3D	90_rot	right	selection	1	1	40	2	81
3104	3D	90_rot	right	selection	1	1	23	1	78
3112	3D	90_rot	right	selection	1	1	50	2	112
3134	3D	90_rot	right	selection	1	1	27	2	92
3151	3D	90_rot	right	selection	1	1	51	2	151
3153	3D	90_rot	right	selection	1	1	62	2	170
3175	3D	90_rot	right	selection	1	1	37	1	121
3199	3D	90_rot	right	selection	1	1	20	1	94
3205	3D	90_rot	right	selection	1	1	26	2	121
3225	3D	90_rot	right	selection	1	1	47	2	84
3237	3D	90_rot	right	selection	1	1	35	2	59
3243	3D	90_rot	right	selection	2	1	36	1	90
3266	3D	90_rot	right	selection	1	1	23	1	82
3270	3D	90_rot	right	selection	1	1	30	2	77
3290	3D	90_rot	right	selection	1	1	31	2	51
3311	3D	90_rot	right	selection	1	1	22	1	70
3328	3D	90_rot	right	selection	1	1	37	2	103
3336	3D	90_rot	right	selection	1	1	25	1	150
3345	3D	90_rot	right	selection	1	1	49	2	76
3354	3D	90_rot	right	selection	1	1	51	2	91
3386	3D	90_rot	right	selection	1	1	39	1	56
3392	3D	90_rot	right	selection	1	1	33	2	71
3426	3D	90_rot	right	selection	1	1	23	2	86
3432	3D	90_rot	right	selection	1	1	26	2	85
3440	3D	90_rot	right	selection	2	1	43	2	360
3446	3D	90_rot	right	selection	1	1	30	2	116
3479	3D	90_rot	right	selection	1	1	27	2	114
3485	3D	90_rot	right	selection	1	1	43	1	106
3493	3D	90_rot	right	selection	1	1	39	2	124
3501	3D	90_rot	right	selection	1	1	41	1	81
3506	3D	90_rot	right	selection	1	1	44	2	161
3518	3D	90_rot	right	selection	1	1	34	2	83
3557	3D	90_rot	right	selection	1	1	33	1	101
3561	3D	90_rot	right	selection	1	1	20	2	130
3584	3D	90_rot	right	selection	2	1	41	2	73
3586	3D	90_rot	right	selection	2	1	31	1	110
3599	3D	90_rot	right	selection	1	1	18	2	88
3634	3D	90_rot	right	selection	1	1	33	2	76
3635	3D	90_rot	right	selection	1	1	51	2	53
3639	3D	90_rot	right	selection	1	1	39	1	105
3665	3D	90_rot	right	selection	1	1	30	1	55
3679	3D	90_rot	right	selection	1	1	38	1	71
3687	3D	90_rot	right	selection	1	1	53	1	150
3705	3D	90_rot	right	selection	1	1	43	1	89
3730	3D	90_rot	right	selection	1	1	42	2	49
3732	3D	90_rot	right	selection	1	1	29	2	99
3745	3D	90_rot	right	selection	1	1	51	2	136
3762	3D	90_rot	right	selection	1	1	24	2	38
3780	3D	90_rot	right	selection	2	1	53	2	63
3795	3D	90_rot	right	selection	2	1	39	2	95
3808	3D	90_rot	right	selection	1	1	18	2	65
3825	3D	90_rot	right	selection	1	1	20	1	58
3834	3D	90_rot	right	selection	1	1	46	2	124
3859	3D	90_rot	right	selection	1	1	30	2	97
3862	3D	90_rot	right	selection	2	1	19	2	81
3885	3D	90_rot	right	selection	2	1	25	1	79
3888	3D	90_rot	right	selection	1	1	30	1	264
3902	3D	90_rot	right	selection	2	1	29	1	296
3924	3D	90_rot	right	selection	1	1	18	1	73
3940	3D	90_rot	right	selection	1	1	21	1	198
3941	3D	90_rot	right	selection	1	1	22	1	88
3094	3D	Angle	left	selection	2	1	26	2	87
3098	3D	Angle	left	selection	2	1	29	1	86
3119	3D	Angle	left	selection	2	1	40	2	48
3140	3D	Angle	left	selection	2	1	65	1	82
3141	3D	Angle	left	selection	2	1	24	2	86
3167	3D	Angle	left	selection	2	1	48	2	68
3178	3D	Angle	left	selection	2	1	22	1	63
3191	3D	Angle	left	selection	2	1	28	2	79
3222	3D	Angle	left	selection	2	1	21	2	115
3231	3D	Angle	left	selection	1	1	27	2	100
3246	3D	Angle	left	selection	2	1	25	2	85
3261	3D	Angle	left	selection	2	1	20	2	88
3276	3D	Angle	left	selection	2	1	30	2	129
3289	3D	Angle	left	selection	1	1	48	1	112
3304	3D	Angle	left	selection	2	1	41	1	144
3320	3D	Angle	left	selection	2	1	48	2	84
3324	3D	Angle	left	selection	2	1	31	1	68
3346	3D	Angle	left	selection	2	1	34	1	71
3366	3D	Angle	left	selection	2	1	37	2	92
3379	3D	Angle	left	selection	2	1	37	1	156
3381	3D	Angle	left	selection	2	1	24	2	317
3397	3D	Angle	left	selection	2	1	21	1	93
3421	3D	Angle	left	selection	2	1	20	1	80
3438	3D	Angle	left	selection	2	1	30	1	228
3441	3D	Angle	left	selection	2	1	36	2	84
3442	3D	Angle	left	selection	2	1	50	1	466
3462	3D	Angle	left	selection	2	1	40	1	84
3494	3D	Angle	left	selection	1	1	28	1	73
3511	3D	Angle	left	selection	2	1	20	1	77
3516	3D	Angle	left	selection	2	1	55	2	104
3522	3D	Angle	left	selection	2	1	47	2	292
3548	3D	Angle	left	selection	2	1	48	1	168
3553	3D	Angle	left	selection	2	1	27	2	118
3571	3D	Angle	left	selection	2	1	48	2	197
3594	3D	Angle	left	selection	1	1	40	2	56
3615	3D	Angle	left	selection	1	1	33	2	107
3621	3D	Angle	left	selection	2	1	24	1	77
3636	3D	Angle	left	selection	2	1	71	2	134
3655	3D	Angle	left	selection	2	1	50	4	56
3661	3D	Angle	left	selection	2	1	50	2	149
3685	3D	Angle	left	selection	2	1	35	2	51
3691	3D	Angle	left	selection	2	1	47	1	99
3713	3D	Angle	left	selection	2	1	20	1	63
3718	3D	Angle	left	selection	2	1	42	2	84
3740	3D	Angle	left	selection	2	1	37	2	82
3741	3D	Angle	left	selection	2	1	19	2	172
3760	3D	Angle	left	selection	2	1	35	1	113
3785	3D	Angle	left	selection	1	1	24	2	35
3800	3D	Angle	left	selection	2	1	47	1	117
3810	3D	Angle	left	selection	2	1	23	2	119
3827	3D	Angle	left	selection	2	1	31	2	139
3842	3D	Angle	left	selection	2	1	22	2	167
3847	3D	Angle	left	selection	1	1	36	2	162
3866	3D	Angle	left	selection	2	1	44	2	207
3872	3D	Angle	left	selection	2	1	46	2	68
3886	3D	Angle	left	selection	1	1	24	2	87
3908	3D	Angle	left	selection	1	1	25	2	236
